,Topic,Count,Name,Representation,Representative_Docs
0,-1,32545,-1_phone_hear_piece_ear,"['phone', 'hear', 'piece', 'ear', 'talk', 'try', 'find', 'music', 'listen', 'look']","['great ease use show battery bud use show battery case bud sit case open easily control well touch setting let change touch hold setting volume right bud volume leave leave open spotify right bud voice command', 'really enjoy beat noise cancel feature sometimes feel ear', 'sound quality small case make go earbud airpod pro']"
1,0,1550,0_itsnow_dude_represent_rather,"['itsnow', 'dude', 'represent', 'rather', 'notice', 'instead', '', '', '', '']","['', '', 'itsnow']"
2,1,920,1_love_loveeeeeee_loooooove_fjb,"['love', 'loveeeeeee', 'loooooove', 'fjb', 'appsolutly', 'loveee', 'hopefully', 'one', 'well', '']","['love', 'love', 'love']"
3,2,884,2_bass_treble_mid_boost,"['bass', 'treble', 'mid', 'boost', 'deep', 'punchy', 'vocal', 'response', 'balanced', 'heavy']","['bass sound', 'bass', 'bass']"
4,3,522,3_microphone_mic_builtin_mouth,"['microphone', 'mic', 'builtin', 'mouth', 'inline', 'call', 'caller', 'speak', 'record', 'voice']","['good microphone', 'microphone good', 'microphone good']"
5,4,440,4_life_battery_long_last,"['life', 'battery', 'long', 'last', 'sound', 'quality', 'undoubtedly', 'intuitive', 'quantity', 'forever']","['good sound quality battery life', 'quality sound battery life good', 'sound quality good battery life great']"
6,5,433,5_wireless_true_earbud_epic,"['wireless', 'true', 'earbud', 'epic', 'truly', 'wholeheartedly', 'sport', 'market', 'cuttingedge', 'elite']","['good wireless earbud', 'good wireless earbud', 'wireless earbud']"
7,6,406,6_pause_skip_song_tap,"['pause', 'skip', 'song', 'tap', 'track', 'pauseplay', 'sensor', 'touch', 'resume', 'double']","['press volume skip song pause', 'listen music want adjust fit pause music skip next song', 'make easy pause skip song button side']"
8,7,398,7_recommend_wod_bot_though,"['recommend', 'wod', 'bot', 'though', 'unfortunately', 'suggestion', 'horrible', 'highly', 'however', 'still']","['recommend', 'recommend', 'recommend']"
9,8,370,8_wireless_inear_true_headphone,"['wireless', 'inear', 'true', 'headphone', 'fortune', 'wic', 'headphonesblack', 'wirless', 'marvel', 'pop']","['wireless headphone', 'wireless headphone', 'love new go air true wireless inear headphone']"
10,9,333,9_highly_recommend_strongly_recommendation,"['highly', 'recommend', 'strongly', 'recommendation', 'suggest', 'wait', 'impressed', 'strong', 'thank', 'much']","['highly recommend', 'highly recommend', 'highly recommend']"
11,10,321,10_fit_comfortably_nicely_perfectly,"['fit', 'comfortably', 'nicely', 'perfectly', 'fitment', 'ear', 'terrific', 'cushion', 'eeky', 'pricebut']","['fit ear sound great', 'fit ear sound quality great', 'great sound quality good fit ear']"
12,11,321,11_touch_sensor_sensitive_responsive,"['touch', 'sensor', 'sensitive', 'responsive', 'control', 'touchy', 'button', 'disable', 'accidental', 'touching']","['touch control work', 'touch control', 'touch control']"
13,12,319,12_apple_product_genuine_overprice,"['apple', 'product', 'genuine', 'overprice', 'wingtip', 'trend', 'store', 'course', 'wrong', 'always']","['apple good', 'apple', 'apple apple apple apple']"
14,13,313,13_cancel_cancellation_cancelation_noise,"['cancel', 'cancellation', 'cancelation', 'noise', 'boise', 'truely', 'shine', 'phenomenal', 'amazing', 'spacial']","['sound quality noise cancel great', 'sound quality noise cancel great', 'sound quality noise cancel great']"
15,14,307,14_work_great_mo_intended,"['work', 'great', 'mo', 'intended', 'exceptionally', 'needed', 'excellent', 'tell', '', '']","['work great', 'work great', 'work great']"
16,15,288,15_airpod_pro_solo_compare,"['airpod', 'pro', 'solo', 'compare', 'deliver', 'powerbeat', 'par', 'studio', 'beat', 'rd']","['sound well airpod pro', 'airpod pro beat fit pro airpod', 'sound quality well airpod pro']"
17,16,274,16_buy_fil_passed_bsst,"['buy', 'fil', 'passed', 'bsst', 'christma', 'afain', 'cave', 'buying', 'settle', 'already']","['buy', 'buy', 'buy']"
18,17,261,17_charge_fast_charging_hold,"['charge', 'fast', 'charging', 'hold', 'longlaste', 'long', 'charger', 'last', 'quickly', 'adapt']","['fast charge good quality sound long battery life', 'great charge good sound', 'great sound charge fast charge last long time']"
19,18,261,18_fit_shallow_perfectly_terrible,"['fit', 'shallow', 'perfectly', 'terrible', 'quaulity', 'coupld', 'absolutey', 'reqlly', 'mustbuy', 'lifhter']","['fit sound great', 'fit sound great', 'sound fit great']"
20,19,260,19_product_great_wonderful_thank,"['product', 'great', 'wonderful', 'thank', 'beautiful', 'honestly', 'far', 'really', 'definitely', 'much']","['great product', 'great product', 'great product']"
